call_site	compose_style	compose_name	auto_mirrored	material_symbols_name	glyph_file	resolution	codepoint	auto_mirror_flag_in_code	svg_variant	upstream_svg_url
Rounded/RestartAlt	Rounded	RestartAlt	false	restart_alt	restart_alt	direct	f053	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/restart_alt/materialsymbolsrounded/restart_alt_fill1_24px.svg
Rounded/SettingsApplications	Rounded	SettingsApplications	false	settings_applications	settings_applications	direct	e8b9	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/settings_applications/materialsymbolsrounded/settings_applications_fill1_24px.svg
Rounded/Share	Rounded	Share	false	share	share	direct	e80d	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/share/materialsymbolsrounded/share_fill1_24px.svg
Rounded/SignalCellular4Bar	Rounded	SignalCellular4Bar	false	signal_cellular_4_bar	signal_cellular_4_bar	direct	e1c8	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/signal_cellular_4_bar/materialsymbolsrounded/signal_cellular_4_bar_fill1_24px.svg
Rounded/SignalWifi4Bar	Rounded	SignalWifi4Bar	false	signal_wifi_4_bar	signal_wifi_4_bar	direct	f065	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/signal_wifi_4_bar/materialsymbolsrounded/signal_wifi_4_bar_fill1_24px.svg
Rounded/Stars	Rounded	Stars	false	stars	stars	direct	e8d0	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/stars/materialsymbolsrounded/stars_fill1_24px.svg
Rounded/Terminal	Rounded	Terminal	false	terminal	terminal	direct	eb8e	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/terminal/materialsymbolsrounded/terminal_fill1_24px.svg
Rounded/VideoFile	Rounded	VideoFile	false	video_file	video_file	direct	eb87	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/video_file/materialsymbolsrounded/video_file_fill1_24px.svg
Rounded/Videocam	Rounded	Videocam	false	videocam	videocam	direct	e04b	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/videocam/materialsymbolsrounded/videocam_fill1_24px.svg
Rounded/ViewComfy	Rounded	ViewComfy	false	view_comfy	view_comfy	direct	e42a	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/view_comfy/materialsymbolsrounded/view_comfy_fill1_24px.svg
Rounded/VolunteerActivism	Rounded	VolunteerActivism	false	volunteer_activism	volunteer_activism	direct	ea70	false	fill1_24px	https://raw.githubusercontent.com/google/material-design-icons/27e9ef1dbeedc13d682fece4a58e1eda4cb0961a/symbols/web/volunteer_activism/materialsymbolsrounded/volunteer_activism_fill1_24px.svg
